namespace,key,context,tr
component.b2b.b2_b_apply_form,acente_lisans_no,jsx,Acente Lisans No
component.b2b.b2_b_apply_form,basvurunuzla,jsx,Başvurunuzla
component.b2b.b2_b_apply_form,form_aria_label_b2b_acente,form@aria-label,B2B acente başvuru formu
component.b2b.b2_b_apply_form,input_placeholder_tursab_xxxx,input@placeholder,TÜRSAB A-XXXX veya yerel lisans
component.b2b.b2_b_apply_form,kabul_etmis_sayilirsiniz,jsx,kabul etmiş sayılırsınız.
component.b2b.b2_b_apply_form,kullanim_sartlarini,jsx,kullanım şartlarını
component.b2b.b2_b_apply_form,kurumsal_posta,jsx,Kurumsal E-posta
component.b2b.b2_b_apply_form,secin,jsx,Seçin...
component.b2b.b2_b_apply_form,sirket_adi,jsx,Şirket Adı
component.b2b.b2_b_apply_form,ulke,jsx,Ülke
component.b2b.b2_b_apply_form,yetkili_ad_soyad,jsx,Yetkili Ad Soyad
component.booking.availability_badge,musait,jsx,Müsait
component.booking.availability_calendar,button_aria_label_onceki_ay,button@aria-label,Önceki ay
component.booking.availability_calendar,button_aria_label_sonraki_ay,button@aria-label,Sonraki ay
component.booking.availability_calendar,legenddot_label_gecmis_kapali,LegendDot@label,Geçmiş / Kapalı
component.booking.availability_calendar,legenddot_label_musait,LegendDot@label,Müsait
component.booking.availability_calendar,legenddot_label_sinirli,LegendDot@label,Sınırlı
component.booking.availability_calendar,musait_tarihler,jsx,Müsait Tarihler
component.booking.cookie_consent,analitik_anonim_ziyaret,jsx,• Analitik (anonim ziyaret istatistikleri) — opsiyonel
component.booking.cookie_consent,cerez_politikamiza,jsx,Çerez Politikamıza
component.booking.cookie_consent,div_aria_label_cerez_tercihi,div@aria-label,Çerez tercihi
component.booking.cookie_consent,goz_atin,jsx,göz atın.
component.booking.cookie_consent,kabul_et,jsx,Kabul Et
component.booking.cookie_consent,pazarlama_kisisellestirilmis,jsx,• Pazarlama (kişiselleştirilmiş içerik) — opsiyonel
component.booking.cookie_consent,performans_sayfa_hizi_olcumu,jsx,• Performans (sayfa hızı ölçümü) — opsiyonel
component.booking.cookie_consent,site_kvkk_gdpr_kapsaminda,jsx,"Bu site KVKK ve GDPR kapsamında deneyiminizi geliştirmek için
              çerezler kullanır. Detaylar için"
component.booking.cookie_consent,zorunlu_cerezler_oturum,jsx,"• Zorunlu çerezler (oturum, güvenlik) — her zaman aktif"
component.booking.currency_switcher,button_aria_label_para_birimi,button@aria-label,Para birimi
component.booking.search,cocuk_12,jsx,Çocuk (7-12)
component.booking.search,input_aria_label_destinasyon,input@aria-label,Destinasyon veya hizmet ara
component.booking.search,input_placeholder_goreme_kapadokya,input@placeholder,"Göreme, Kapadokya"
component.booking.search,onemli,jsx,Önemli:
component.booking.search,tarih,jsx,Tarih
component.booking.search,yas_alti_cocuklar_balon,jsx,"6 yaş altı çocuklar balon uçuşlarına katılamaz. Hamileler
            ve ciddi kalp/sağlık sorunu olanlar binemez."
component.booking.search,yetiskin,jsx,Yetişkin
component.booking.whats_app_f_a_b,bize_whatsapp_tan_yazin,jsx,Bize WhatsApp'tan yazın
component.layout.breadcrumb,ana_sayfa,jsx,Ana Sayfa
component.layout.footer,2026_trip_tick,jsx,© 2026 Trip and Tick.
component.layout.footer,bultene_abone_olun_ilk,jsx,"Bültene abone olun, ilk rezervasyonunuzda %5 indirim + sezon fırsatları."
component.layout.footer,button_aria_label_dil_sec,button@aria-label,Dil seç
component.layout.footer,button_title_faz_eklenecek,button@title,Faz 2'de eklenecek
component.layout.footer,hosgeldin_bonusu,jsx,Hoşgeldin Bonusu
component.layout.footer,kapadokya_nin_en_rekabetci,jsx,"Kapadokya'nın en rekabetçi fiyatlı, en güvenilir online seyahat acentası.
              Nevşehir / Göreme, Türkiye."
component.layout.footer,nevsehir_kapadokya_turkiye,jsx,"Nevşehir / Kapadokya, Türkiye"
component.layout.footer,trip_tick,jsx,Trip and Tick
component.layout.footer,turkiye,jsx,", Türkiye"
component.layout.footer,yakinda,jsx,Yakında
component.layout.header,button_title_faz_eklenecek,button@title,Faz 2'de eklenecek
component.layout.header,trip,jsx,Trip and
component.layout.header,yakinda,jsx,Yakında
component.layout.service_card,bilgi_al,jsx,Bilgi Al
component.layout.service_card,degerlendirme,jsx,değerlendirme
component.layout.service_card,kisi_basi,jsx,kişi başı
component.layout.service_card,telefon_posta,jsx,Telefon / e-posta ile
component.marketing.newsletter_form,form_aria_label_bulten_aboneligi,form@aria-label,Bülten aboneliği formu
component.oteller.hotel_inquiry_form,ad_soyad,jsx,Ad Soyad *
component.oteller.hotel_inquiry_form,arayarak_musaitlik_fiyat,jsx,ile arayarak müsaitlik ve fiyat teklifi paylaşacağız.
component.oteller.hotel_inquiry_form,butce_opsiyonel,jsx,Bütçe (opsiyonel)
component.oteller.hotel_inquiry_form,cikis_tarihi,jsx,Çıkış Tarihi *
component.oteller.hotel_inquiry_form,cocuk,jsx,Çocuk
component.oteller.hotel_inquiry_form,formu_doldurun_24_saat_icinde,jsx,Formu doldurun — 24 saat içinde sizi
component.oteller.hotel_inquiry_form,giris_tarihi,jsx,Giriş Tarihi *
component.oteller.hotel_inquiry_form,hemen_iletisim,jsx,Hemen iletişim için:
component.oteller.hotel_inquiry_form,input_placeholder_orn_100,input@placeholder,Örn: 100-150 EUR / gece
component.oteller.hotel_inquiry_form,otel_bilgi_alin,jsx,Otel için bilgi alın
component.oteller.hotel_inquiry_form,posta,jsx,E-posta *
component.oteller.hotel_inquiry_form,talebiniz_alindi,jsx,Talebiniz Alındı
component.oteller.hotel_inquiry_form,talep_no,jsx,Talep No:
component.oteller.hotel_inquiry_form,telefon_posta,jsx,telefon veya e-posta
component.oteller.hotel_inquiry_form,telefon_sizi_arayacagiz,jsx,Telefon * (sizi arayacağız)
component.oteller.hotel_inquiry_form,tercihler_not_opsiyonel,jsx,Tercihler / Not (opsiyonel)
component.oteller.hotel_inquiry_form,textarea_placeholder_orn_balon,textarea@placeholder,"Örn: balon manzaralı oda, jakuzili, balayı dekoru..."
component.oteller.hotel_inquiry_form,yetiskin,jsx,Yetişkin *
component.oteller.hotels_grid,div_aria_label_otel_tipi,div@aria-label,Otel tipi filtresi
component.oteller.hotels_grid,kategoride_otel_bulunamadi,jsx,Bu kategoride otel bulunamadı. Lütfen başka bir filtre seçin.
